clean_text,has_kualitas_produk,has_harga,has_pengiriman,has_pelayanan,has_performa,has_packaging
bagus bet ni hp tidak nyesel beli ni hp,1,0,0,1,1,0
kondisi barang aman terbungkus rapi dan cepat sampai hanya hari pengiriman,0,0,1,0,1,1
awalnya ragu tapi pas scroll koment pada bagus semua dan setelah barang tiba memang keren bagus dan original makasih owner,1,0,0,0,1,0
cepet sampai kualitas bahan bagus berfungsi baik,1,0,0,1,1,0
pengiriman aman barang bagus,1,0,0,0,1,1
ipad berfungsi dengan baik tinggal beli tempered glass pencil dan casing kemasan rapi dan aman walaupun paketnya kehujanan kurir kasih info kedatangan dan sampai deng,0,0,0,1,0,1
mantaaapppp bagus banget ini cocok lah yaaaa,1,0,0,0,1,0
mantep banget sound quality nya upgrade banget dari buds live saya yang terakhir semoga awet termasuk ear tips nya yang dulu sempet rame karena gampang sobek,0,0,0,0,0,0
bagus,1,0,0,0,1,0
barang masih di segel berfungsi dengan baik,0,0,0,1,0,0
produknya sip masih segelan dan garansi digimap jg rekomended lah beli disini,0,0,0,0,0,0
bagus sampe dengan aman,1,0,0,0,1,1
keren barang sampai packing rapi kardus rapi dan isi aman,0,0,0,0,0,1
amanah,0,0,0,0,0,1
barang aman dan masih segel toko amanah dan kurir amanah pengiriman cepat banget responsif penjual juga ramah dan cepat,0,0,1,1,1,1
bagus barang ny ori nyaman di pakai sehari kamera ny lumayan bagus,1,0,0,0,1,1
alhamdulillah barang sudah sampai tujuan terimakasih,0,0,0,0,0,0
baguss,1,0,0,0,1,0
barang masih disegel mulus semoga awet cuma pengiriman yang tidak sesuai pilih same day sampai nya esok hari,0,0,0,1,0,0
barang sudah sampai dengan tepat dan aman sesuai pesanan tersegel rapi kemasan bagus rekomendasi buat yang mau order di toko ini,1,0,1,0,1,1
bagusss bangettt,1,0,0,0,1,0
alhamdulillah barang sudah sampe masih disegel wkt sampe ada garansi resmi nya berfungsi dgn baik kualiatas barang original,1,0,0,1,0,0
barang bagus masih segel dan belum di aktifin pokoknya puas pengiriman juga cepat warna nya sesuai,1,0,1,0,1,0
ini hp poco f terbaik di kelasnya tidak ada lawan snapdragon s gen material premium kaca dan frame metal layar besar baterai besar the best lah ini poco f garansi,1,0,0,1,0,0
good,0,0,0,0,0,0
bagus bagus,1,0,0,0,1,0
alhamdulillah bagus,1,0,0,0,1,0
barang sesuai kualitas bagus,1,0,0,0,1,0
barang bagus tidak kalah dengan pendahulunya bahkan harga lebih murah pengunci arlojinya juga keren,1,1,0,1,1,0
pengiriman cepat alhamdulillah sudah sampai kmrn sudah dicoba dan berfungsi semoga awet tq seller sukses selalu,0,0,1,0,1,0
sesuai pesanan barang bagusss,1,0,0,0,1,0
mantappp produk real kamera bagus hp muluss,1,0,0,0,1,0
seller cepat respond barang yg dijual juga sesuai deskripsi overall rekomendasi seller,0,0,1,1,1,0
best,0,0,0,0,0,0
barang msh disegel original ada garansi,1,0,0,0,0,0
bagus,1,0,0,0,1,0
barang masih di segel responsif cepat double box,0,0,1,1,1,0
bnran ory bagus keren next belanja lagi di sini,1,0,0,0,1,0
terimakasih,0,0,0,0,0,0
sesuai ekspektasi,0,0,0,0,0,0
bagus packing dan pengiriman aman pastinya barang baru dapat adapter w,1,0,0,0,1,1
alhamdulillah barang sampai dengan baik trimakasih seller,0,0,0,1,0,0
hp sesuai yg diinginkan makasih toko nya amanah,0,0,0,0,0,1
barang sudah sampai barang sesuai pesanan belum bicoba,0,0,0,0,0,0
keren,0,0,0,0,0,0
sangat bahagia banget bisa dapat tws keren harga terjangkau sangat gembira sekali sesuai ekspektasi performa bagus,1,1,0,0,1,0
baguuuuus orrriiiiiiii,0,0,0,0,0,0
brang ori tan toko amanah pngiriman cpat gk ad kluhan,0,0,0,0,0,1
alhamdulillah sdh mendarat dg selamat cuma tidak ada kurir imstan sameday lmyn hr br dtg semkga awet tq,0,0,1,1,0,0
bagus dapet harga masih segel dan pengiriman langsung nyampe hari itu juga,1,0,0,0,1,0
paket aman barang sesuai,0,0,0,0,0,1
ori,0,0,0,0,0,0
barang segel waktu sampai terpercaya dan aman,0,0,0,0,0,1
sesuai deskripsi terima kasih,0,0,0,0,0,0
iphone plus sampai tepat waktu barangnya original garansi resmi indonesia baru dan barcode pendaftaran garansi resminya online cakep banget deh pokoknya harga sang,1,0,1,0,0,0
hp aman tidak ada lecet sedikitpun trimahkasih vivo yang tadinya khawatir tdk sesuai ekspetasj alhamdulillah aman baru,0,0,0,1,0,1
diterima dengan keadaan baik,0,0,0,1,0,0
bagus asli original tooppp markotoop,1,0,0,0,1,0
pokonya is the best original masih segel,1,0,0,0,0,0
hp sdah nyampk dgn selamat u utuh msih tersegel bagus toped,1,0,1,0,1,0
keren sih ini sudah gt aja,0,0,0,0,0,0
bagus sesuai,1,0,0,0,1,0
sesuai yg d harapkan barang ori,0,0,0,0,0,0
packingnya rapi barang datang sesuai dan dalam keadaan aman dan rapi ternyata dapat bonus casing diamond dan tempered glass juga,0,0,0,0,0,1
barang sudah sampe thk uu tdi ad yg tiba wa bilangnya kurir bilang nya salah kirim hrusnya a tidak ak tanggepin mau nipu kayanya,0,0,0,1,0,0
barang masih segel original berfungsi dengan baik,1,0,0,1,0,0
garansi resmi samsung terbaik sangat aman,0,0,0,1,0,1
bagusssss,1,0,0,0,1,0
bagus,1,0,0,0,1,0
sangat impresif build quality performance dan battery performance dengan spec yg di tawarkan di harga yg bersaing untuk mid range kalau cari second daily phone di harg,0,0,0,0,1,0
barang bagusss mantappp,1,0,0,0,1,0
baik semuanya,0,0,0,1,0,0
good quality pengiriman cepat murah and produk ori berfungsi dgn baik camera jernih,0,1,1,1,1,0
paket sudah diterima aman dan cepat thanks kurir dan toko,0,0,1,0,1,1
bagus hp nya,1,0,0,0,1,0
barang disegel pengirimannya cepat ada garansi resmi pokonya the best thank you seller dan murah bagus,1,1,1,0,1,0
sangat bagus amanah,1,0,0,0,1,1
tak kirimin hasil pemakaiannya aja resmi dptnya digimap id a walaupun ngarepnya sa a tapi gapapa yg penting resmi,0,0,0,0,0,0
review jujur sdh riset observasi charger vivo materialnya bagus fungsionalnya bukan gimmick asal hp nya juga support sama suppliernya sdh berpengalaman ditam,1,0,1,0,1,1
barangnya masih segel kualitas baik original pas flash sale milih warna biru eh lagi kosong katanya dan konfirmasi buat ganti warna pink atau hitam ku pilih pink kare,1,0,0,1,1,0
belum dibuka nnti edit lagi klo sudah dibuka sama di tes,0,0,0,0,1,0
proses pengiriman terhitung cepat thanks,0,0,1,0,1,0
hp nya baguss mantaapp,1,0,0,0,1,0
bagus baget,1,0,0,0,1,0
bagus istri senang,1,0,0,0,1,0
barang sudah sampai sesuai pesanan pengiriman cepat tq seller,0,0,1,0,1,0
segel dapet yg garansi ibox tapi sayang baru beli seminggu sudah turun lagi aja harga nya,0,0,0,0,1,0
q,0,0,0,0,0,0
exceptionally refined and impeccably crafted device of remarkable sophistication indeed,0,0,0,0,0,0
sangat puas ini adalah pesanan saya yang kedua di toko ini sesuai ekspektasi request digimap dikirim juga yang digimap sempurna dari segi produk pengiriman dan resp,0,0,0,0,0,0
hhhhissip,0,0,0,0,0,0
barang ori yah guyss pengiriman cepat dan aman,0,0,1,0,1,1
barang dikemas rapi dan sesuai pesanan,0,0,0,0,0,1
awal ny ragu ragu tapi setelah hp ny datang puas banget dengan harga segitu toko ny amanah kurir ny juga ramah love banget pokok ny,0,0,0,1,0,1
tidak tau kenapa gua maen game kek rada patah patah dikit lah walaupun atau cuma karena baterei nya ya,0,0,0,1,0,0
suara nya jernih bass nya pas di telinga,0,0,0,0,0,0
bagus,1,0,0,0,1,0
finally my dream has come true memiliki hp dengan spek ram n rom besar but body hp tipis dan harga terjangkau adalah impianku sejak lambat hpnya jg sesuai dgn d,0,1,1,1,1,0
baik,0,0,0,1,0,0
pengiriman tepat waktu barang bagus,1,0,1,0,1,0
terima kasih,0,0,0,0,0,0
barang sampai dengan selamat walaupun ada penyok sedikit di kotak tapi untungnya kotaknya berlapis lapis,0,0,1,0,0,1
bagus seller ramah amanah abg kurirnya baik ramah sopan,1,0,0,1,1,1
bagus banget semoga awet,1,0,0,0,1,0
unit tiba dengan selamat,0,0,1,0,0,0
barang sudah sampai dengan selamat,0,0,1,0,0,0
ori dong,0,0,0,0,0,0
barang masih segel waktu nyampek sesuai dengan pesanan terima kasih,0,0,0,0,0,0
barang bagus ori juga g nyesel beli d sini,1,0,0,0,1,0
barang bagus ori,1,0,0,0,1,0
barang sesuai deskripsi pengiriman tepat waktu packing rapi dan aman,0,0,1,0,0,1
terimakasih vivo semoga hp ini awet dan sukses terus yh,0,0,0,0,0,0
terimakasih,0,0,0,0,0,0
alhamdulillah barang sudah di terima barang sesuai dengan pesanan bagus,1,0,0,0,1,0
alhamdulillah pktnya dh sampy pokonya sangat bagus banget rapih smuanya,1,0,0,0,1,1
barang bagus berkualitas,1,0,0,0,1,0
good,0,0,0,0,0,0
awalnya saya ragu karena harganya tergolong terjangkau takut kualitasnya kurang tapi setelah dipakai langsung ternyata nyaman banget desainnya terlihat elegan responsif,1,1,0,1,0,1
alhamdulillah amanah tokonya langgang keluarga,0,0,0,0,0,1
responsif cepat barang sesuai pesanan paket aman terimakasih,0,0,1,1,1,1
bagus hpnya pesan rabu jumat sudah sampai keren responsif super cepat padahal baru launching,1,0,1,1,1,0
cepat delivery,0,0,1,0,1,0
kurirnya yang kurang jeli,0,0,0,0,0,0
bagus,1,0,0,0,1,0
bagus produk xiaomi sangat memuaskan harga mendang mending kualitas terjamin,1,0,0,0,1,0
barang masih di segel,0,0,0,0,0,0
bagus tidak ada cacat yg pastinya ori jgn ragu beli ditoko ini sukset trus buat tokony,1,0,0,1,1,0
kejernihan lensa bagus kualitas pengerjaan baik performa sistem sangat baik,1,0,0,1,1,0
bagus banget,1,0,0,0,1,0
pengiriman tepat waktu aman barang alhamdulillah selamat tidak ada yg cacat sejauh ini dibuka semoga awet ada kartu garansinya juga,1,0,1,1,0,1
terimakasih cepat sampai semoga tidak ada kendala,0,0,1,1,1,0
real pict,0,0,0,0,0,0
bagus barang bagus banget le pas di telinga,1,0,0,0,1,0
brg sesuai packing aman dos bubble warp utk seller sih gercep tapi ekspedisi ninja yg super lemot baru kali ini order gadget nyampenya hrs xtra sabar degan b,0,0,0,0,1,1
barang bagus toko amanah tapi sayang kurir yah terlambat,1,0,1,1,1,1
barang sesuai deskripsi dan kondisi bagus terimakasih seller,1,0,0,0,1,0
bagus buat gaming no throttling wuwa genshin har libas alrrounder body build bagus,1,0,0,0,1,0
nice,0,0,0,0,0,0
produknya sesuai dengan live bagus sebanding it lah dengan hrg pokoknya,1,1,0,0,1,0
paketx sdh sampai dn mendarat dngn baik terimakasih tokox amanah sangat puas,0,0,0,1,0,1
bagus,1,0,0,0,1,0
bagus jos,1,0,0,0,1,0
barang ori packing aman pengiriman cepat very rekomendasi,0,0,1,0,1,1
bagus responsif admin bagus tapi rada lambat di pengiriman,1,0,1,1,1,0
bonus tidak ada gm sesuai deskripsi,0,0,0,1,0,0
aman sampai tujuan,0,0,0,0,0,1
itu hasil kameran nya bagus reno,1,0,0,0,1,0
pengiriman cepat bungkus rapih sesuai deskripsi terima kasih,0,0,1,0,1,1
semua sesuai barang bagus cuman pengiriman telat sehari,1,0,1,0,1,0
bagus,1,0,0,0,1,0
bagus sampe dgn selamat,1,0,1,0,1,0
toko rekomendasi pokoknya bagus sukses selalu,1,0,0,0,1,0
barang bagus sesuai diskripsi,1,0,0,0,1,0
bagus,1,0,0,0,1,0
kualitas terjamin dan iphone asli tanpa gangguan,1,0,0,0,0,0
bagus ip nya ori garansi resmi indonesia tapi yg digimap barangnya juga langsung dianter ke rumah pakai kurir instan thanks gan semoga sukses jualannya,1,0,0,0,1,0
barangnya ori,0,0,0,0,0,0
sesuai harga overall worked well and functioned,0,0,0,0,0,0
peking cepat rapih plus aman pengantaran telat banget kurir buruk tidak mau masuk gang,1,0,1,1,1,1
biarkan bintang yang berbicara,0,0,0,0,0,0
bagus sesuai pesanan,1,0,0,0,1,0
barang bagus cuma dipengirimannya aja ngeselin,1,0,0,0,1,0
suaranya bagus dan terjangkau bermerek yang saya temui,1,1,0,0,1,0
bagus sesuai spek barang datang tepat waktu,1,0,1,0,1,0
terima kasih seller hp nya sudah sampai dengan slmat pengiriman aman,0,0,0,0,0,1
bagus gaming,1,0,0,0,1,0
barang diterima dengan baik tepat waktu kamera berfungsi dengan baik dan jernih harga murah,0,1,1,1,0,0
kamaera sampai dengan aman dan cepat tentunya untuk kameranya sendiri gampang dioperasikan dan sangat jernih gambarnya,0,0,1,0,1,1
barang aman original keren so far pemakaian gada problem sama sekali,1,0,0,0,0,1
barang sampai dengan aman kualitas bagus joss,1,0,0,0,1,1
bagus cuma pengiriman lambat,1,0,1,1,1,0
untuk kelengkapan dan cara pasang cukup jelas ada intruksi dan alat bantu cuman kok tidak nutup semua layarnya masih ada gap sedikit antara bezel nya jadinya suka berde,0,0,0,1,0,0
bagus,1,0,0,0,1,0
barangnya sesuai ori cuma pengantaranya agak lambat,0,0,1,1,1,0
sip bagus paket telah sampai ya guys ya guys,1,0,0,0,1,0
kiriman diterima sesuai pesanan rekomendasi seller packing safety,0,0,0,0,0,0
barang bagus packing aman,1,0,0,0,1,1
diterima dengan aman dan baik,0,0,0,1,0,1
bagus,1,0,0,0,1,0
barang bagus seller ramah pengiriman cepat,1,0,1,1,1,0
barang datang sesuai deskripsi responsif seller sat set pengiriman cepat,0,0,1,1,1,0
sangat sesuai dengan yang dipesan tidak mengecewakan sama sekali,0,0,0,1,0,0
selamat sampai tujuan,0,0,1,0,0,0
sudah diterima barang kondisi baik dan aman,0,0,0,1,0,1
oriiii,0,0,0,0,0,0
mulus,0,0,0,0,0,0
bagus,1,0,0,0,1,0
original aesuai deskripsi packing baik pengiriman cepat,1,0,1,1,1,0
good,0,0,0,0,0,0
sangat bagus next time order lagi,1,0,0,0,1,0
bagus,1,0,0,0,1,0
mamtab gercep harga the best,0,0,0,0,0,0
bagus sesuai dengan keinginan makasih,1,0,0,0,1,0
pelayanan bagus barang mulus admin nya juga joss pokonya,1,0,0,0,1,0
pengiriman cepat pengemasan rapi barang mulus dan aman,0,0,1,0,1,1
biar bintang yg berbicara,0,0,0,0,0,0
packing rapih aman,0,0,0,0,0,1
hp mulus masih segelan dpt charger tapi aku tanya masalah imei terdaftar atau nggak sm admin g dibales semoga aja bukan barang black market jadi bisa digunakan seterusnya,0,0,0,0,0,0
good,0,0,0,0,0,0
bagus unit berfungsi normal pengiriman cepat terima kasih ya,1,0,1,0,1,0
barang yg dikirim kode sa a hpnya pas dipake suka panas kenapa ya apa emang gini awal,0,0,0,0,1,0
halo barang sudah diterima hanya sayang sudah bertanya tentang klaim kupon tapi tidak d jawab terus pelayanan nya harus d tingkatkan lagi ya,0,0,0,1,1,0
responsif cepat dan barang sesuai,0,0,1,1,1,0
bagus,1,0,0,0,1,0
barang segel semoga awet hp nya,0,0,0,0,0,0
bagus,1,0,0,0,1,0
barangx bagus sesuai pesanan ori lagi,1,0,0,0,1,0
sesuai dekripsi sesuai dekripsi sesuai dekripsi sesuai dekripsi sesuai dekripsi sesuai dekripsi sesuai dekripsi sesuai dekripsi sesuai dekripsi sesuai dekripsi sesuai dek,0,0,0,0,0,0
jujur kameranya agak kurang tapi cukup buat gaming kalo open world rpg kaya infinity nikki gabisa lompat pake hape ini,0,0,0,0,0,0
kejernihan lensa good kualitas pengerjaan good performa sistem good no komen,1,0,0,0,0,0
top,0,0,0,0,0,0
maaf baru kasih ulasan q sudah co type yg sma dan pketnya mulus no minus benar benar best pkokx vivo indo is the best,0,0,0,0,0,0
bagus barang bagus kualitas bagus admin cepat responsif,1,0,1,1,1,0
official the best,0,0,0,0,0,0
barang ori pengiriman cepat rekomendasi seller,0,0,1,0,1,0
lebar charger dg watt fery past charging,0,0,0,0,0,0
bagus dan sesuaiii terimakasih,1,0,0,0,1,0
bagus dan baik pengiriman nya cepat dan aman,1,0,1,1,1,1
paket sampai dengan aman hp berfungsi dengan aman dan baik makasih banyak ya kak,0,0,0,1,0,1
alhamdulillah selamat sampai tujuan,0,0,1,0,0,0
bintang deh kalo ada,0,0,0,0,0,0
barang bagus sesuai,1,0,0,0,1,0
jos,0,0,0,0,0,0
barang mendarat dengan selamat thankyou very much seller,0,0,1,0,0,0
barang nya bnr bagus ori sangt puas sekali maksih tiktok shop packing nya juga rapih bnr amanah nggk kecewah de,1,0,0,0,1,1
produk bagus packaging bagus proses pengiriman sedikit lambat,1,0,1,1,1,1
pengirimannya cepat packing tebal aman secara fungsi belum dicoba tapi semoga berfungsi dengan baik,0,0,1,1,1,1
masyaallah hasil ngewar dilive ko wili makasih kk willi sudah ngasih harga murah bagus jernih diteil bagus,1,1,0,0,1,0
barang original dan dikirim warna sesuai pesanan plus dapat diskon banyak terima kasih xiaomi indonesia,1,0,0,0,0,0
barang sesuai dengan pesanan terimakasih,0,0,0,0,0,0
barang sudah diterima dengan kondisi baik masih dalam keadaan tersegel varian silver bagus,1,0,0,1,1,0
barang original terima kasih pengiriman sangat cepat semoga hp nya awet,1,0,1,0,1,0
bagus kali amanah,1,0,0,0,1,1
segel greenpeel bagus brngnya juga ssuai psanan no problem so far tar beli lagi d sni nnti,1,0,0,0,1,0
barang masih disegel ori cuma sayang dpt nya sa a pdhl maunya pa a seller top deh,0,0,0,0,0,0
hp sudah diterima dan hp masih disegel dan dibungkus dengan kotak aslinya dengan sangat rapi pengiriman cepat dan memgaktifkan hp juga cukup mudah hanya beberapa men,1,0,1,0,1,1
pesanan sampai lebih cepat dan tv nya berfungsi dengan baik terimakasih seller dan kurir,0,0,1,1,1,0
bagus masih disegel,1,0,0,0,1,0
sesuai ekspetasi barang realpict original baru kali ini beli hp via on line masyaa allah ternyata bagus banget biar bintang yang berbicara jangan ragu co di toko ini,1,0,0,0,1,0
responsif seller cepat barang datang masih tersegel kelengkapan sesuai,0,0,1,1,1,0
barang ori new segel garansi aman harusnya imei so far aman aja,0,0,0,0,0,1
x order ditoko baginda asli barng or tidak lecet barang nympe dg aman makasih sdah amanah n sukses sll,1,0,0,1,0,1
barang bersegel keadaan baik asli di kemas rapih,1,0,0,1,0,1
langganan disini dijamin puas packaging aman produk aman,0,0,0,0,0,1
akhirnya paketnya sampai dengan baik spek hp nya bagus performa nya baik kamera menurut saya bagus juga karena dilengkapi fitur leica dan sesuai dengan deskripsi sem,1,0,0,1,1,0
kualitas,1,0,0,0,0,0
bagus dah,1,0,0,0,1,0
alhamdulillah sampai dengan selamat tdak ada kekurangan amanah terus yah,0,0,1,0,0,1
ori segel asli,1,0,0,0,0,0
sampai dengan selamat,0,0,1,0,0,0
tablet berfungsi dengan baik,0,0,0,1,0,0
bagus,1,0,0,0,1,0
berharap dpt yg blibli tapi dapatnya yg digimap tapi tak apalah yg penting sama resmi indo,0,0,0,0,0,0
terima kasih boossku,0,0,0,0,0,0
bagus desainnya ringan pelayanan ramah,1,0,0,1,1,0
kejernihan lensa jernih la bagus lahhhh,1,0,0,0,1,0
mantab barang mendarat dengan sempurna,0,0,0,0,0,0
barangnya bagus garansi auto win mobile legend menerima mabar vip mlbb dm instagram bgsajh pokoknya jozzz langsung ajah di order iphone abis tu kita mabar vip,1,0,0,0,1,0
selamat ulang tahun untuk adikku bintang untuk tokonya dan semoga awet hpnya,0,0,1,0,0,0
barangnya bagus sesuai,1,0,0,0,1,0
bagus alhamdulillah toko amanah jadi tidak ragu mau beli onlen semoga manfaat buat suami kerja hp masih tersegel saya cekin internalnya insya allah sesuai sampai den,1,0,0,1,1,1
barang baru segel dan pasti original pengiriman juga tepat waktu custumer servis juga ramah dan cepat balas chat,1,0,1,1,1,0
pengiriman lambat,0,0,1,1,1,0
barang sesuai pesanan dan sesuai request kode unit pa a aman semua fungsi aman mantab pokoknya the best deh keren hitam gb,0,0,0,0,0,1
